"contrast","ontology","term","sig_with_term","sig_total","universe_with_term","universe_total","pvalue","padj"
"18_month_vs_6_month","GO","GO:0002098",1,889,15,35149,0.319101935663044,1
"18_month_vs_6_month","GO","GO:0008176",1,889,15,35149,0.319101935663044,1
"18_month_vs_6_month","GO","GO:0033014",1,889,15,35149,0.319101935663044,1
"18_month_vs_6_month","GO","GO:0016459",2,889,47,35149,0.33420306394818,1
"18_month_vs_6_month","GO","GO:0005643",1,889,16,35149,0.336330784618345,1
"18_month_vs_6_month","GO","GO:0006633",1,889,16,35149,0.336330784618345,1
"18_month_vs_6_month","GO","GO:0016706",1,889,16,35149,0.336330784618345,1
"18_month_vs_6_month","GO","GO:0019911",1,889,16,35149,0.336330784618345,1
"18_month_vs_6_month","GO","GO:0031641",1,889,16,35149,0.336330784618345,1
"18_month_vs_6_month","GO","GO:0033270",1,889,16,35149,0.336330784618345,1
"18_month_vs_6_month","GO","GO:0043220",1,889,16,35149,0.336330784618345,1
"18_month_vs_6_month","GO","GO:0051276",1,889,16,35149,0.336330784618345,1
"18_month_vs_6_month","GO","GO:0003779",2,889,48,35149,0.343463385480323,1
"18_month_vs_6_month","GO","GO:0016311",2,889,49,35149,0.352681748516133,1
"18_month_vs_6_month","GO","GO:0031267",2,889,49,35149,0.352681748516133,1
"18_month_vs_6_month","GO","GO:0005200",1,889,17,35149,0.353124167832824,1
"18_month_vs_6_month","GO","GO:0055036",1,889,17,35149,0.353124167832824,1
"18_month_vs_6_month","GO","GO:0007186",10,889,343,35149,0.369106631656131,1
"18_month_vs_6_month","GO","GO:0000049",1,889,18,35149,0.369493079787641,1
"18_month_vs_6_month","GO","GO:0000155",1,889,18,35149,0.369493079787641,1
"18_month_vs_6_month","GO","GO:0008033",1,889,18,35149,0.369493079787641,1
"18_month_vs_6_month","GO","GO:0009401",1,889,19,35149,0.385448237684336,1
"18_month_vs_6_month","GO","GO:0030983",1,889,19,35149,0.385448237684336,1
"18_month_vs_6_month","GO","GO:0003777",1,889,20,35149,0.401000088430098,1
"18_month_vs_6_month","GO","GO:0006400",1,889,20,35149,0.401000088430098,1
"18_month_vs_6_month","GO","GO:0006413",1,889,20,35149,0.401000088430098,1
"18_month_vs_6_month","GO","GO:0000160",1,889,21,35149,0.416158815447253,1
"18_month_vs_6_month","GO","GO:0008171",1,889,21,35149,0.416158815447253,1
"18_month_vs_6_month","GO","GO:0006468",9,889,319,35149,0.417120874854389,1
"18_month_vs_6_month","GO","GO:0006298",1,889,22,35149,0.43093434531139,1
"18_month_vs_6_month","GO","GO:0008061",1,889,22,35149,0.43093434531139,1
"18_month_vs_6_month","GO","GO:0043093",2,889,58,35149,0.43320024836773,1
"18_month_vs_6_month","GO","GO:0005975",5,889,171,35149,0.435328365074808,1
"18_month_vs_6_month","GO","GO:0090529",2,889,59,35149,0.44182341016728,1
"18_month_vs_6_month","GO","GO:0009036",1,889,23,35149,0.445336354222431,1
"18_month_vs_6_month","GO","GO:0042742",1,889,23,35149,0.445336354222431,1
"18_month_vs_6_month","GO","GO:0006289",1,889,25,35149,0.473057299797152,1
"18_month_vs_6_month","GO","GO:0005102",3,889,102,35149,0.47856997441181,1
"18_month_vs_6_month","GO","GO:0015937",1,889,26,35149,0.486394392966504,1
"18_month_vs_6_month","GO","GO:0006470",2,889,65,35149,0.491969100306921,1
"18_month_vs_6_month","GO","GO:0032259",1,889,27,35149,0.499394290032608,1
"18_month_vs_6_month","GO","GO:0036211",1,889,27,35149,0.499394290032608,1
"18_month_vs_6_month","GO","GO:0004725",2,889,67,35149,0.508042263879769,1
"18_month_vs_6_month","GO","GO:0008234",1,889,28,35149,0.512065506824392,1
"18_month_vs_6_month","GO","GO:0008528",2,889,69,35149,0.523779252271933,1
"18_month_vs_6_month","GO","GO:0004674",2,889,71,35149,0.539173521820426,1
"18_month_vs_6_month","GO","GO:0048193",1,889,32,35149,0.559626481530995,1
"18_month_vs_6_month","GO","GO:0070206",1,889,32,35149,0.559626481530995,1
"18_month_vs_6_month","GO","GO:0004672",7,889,281,35149,0.568856646419805,1
"18_month_vs_6_month","GO","GO:0006606",2,889,76,35149,0.576129946909732,1
"18_month_vs_6_month","GO","GO:0007155",3,889,119,35149,0.582267028066199,1
"18_month_vs_6_month","GO","GO:0008270",18,889,733,35149,0.584197342247273,1
"18_month_vs_6_month","GO","GO:0008289",2,889,78,35149,0.59029351316835,1
"18_month_vs_6_month","GO","GO:0008237",1,889,35,35149,0.592232528142285,1
"18_month_vs_6_month","GO","GO:0016829",1,889,35,35149,0.592232528142285,1
"18_month_vs_6_month","GO","GO:0008017",2,889,79,35149,0.597241976676753,1
"18_month_vs_6_month","GO","GO:0055085",11,889,454,35149,0.599557737826891,1
"18_month_vs_6_month","GO","GO:0003678",1,889,36,35149,0.602556196265584,1
"18_month_vs_6_month","GO","GO:0008146",1,889,36,35149,0.602556196265584,1
"18_month_vs_6_month","GO","GO:0035091",1,889,36,35149,0.602556196265584,1
"18_month_vs_6_month","GO","GO:0005576",7,889,292,35149,0.609282665371194,1
"18_month_vs_6_month","GO","GO:0006955",1,889,37,35149,0.612618781106523,1
"18_month_vs_6_month","GO","GO:0007030",1,889,37,35149,0.612618781106523,1
"18_month_vs_6_month","GO","GO:0042157",1,889,37,35149,0.612618781106523,1
"18_month_vs_6_month","GO","GO:0005577",2,889,82,35149,0.617554136243925,1
"18_month_vs_6_month","GO","GO:0030168",2,889,82,35149,0.617554136243925,1
"18_month_vs_6_month","GO","GO:0051258",2,889,82,35149,0.617554136243925,1
"18_month_vs_6_month","GO","GO:0005783",1,889,38,35149,0.62242687815586,1
"18_month_vs_6_month","GO","GO:0004867",1,889,39,35149,0.631986916472041,1
"18_month_vs_6_month","GO","GO:0008608",1,889,39,35149,0.631986916472041,1
"18_month_vs_6_month","GO","GO:0008855",2,889,85,35149,0.637069106797915,1
"18_month_vs_6_month","GO","GO:0016788",1,889,41,35149,0.650387726042603,1
"18_month_vs_6_month","GO","GO:0005515",47,889,1955,35149,0.66263742454377,1
"18_month_vs_6_month","GO","GO:0003712",2,889,91,35149,0.673737488108677,1
"18_month_vs_6_month","GO","GO:0022857",5,889,228,35149,0.686587326618687,1
"18_month_vs_6_month","GO","GO:0004386",2,889,94,35149,0.690913805397654,1
"18_month_vs_6_month","GO","GO:0006364",1,889,46,35149,0.692468520517559,1
"18_month_vs_6_month","GO","GO:0050661",1,889,46,35149,0.692468520517559,1
