"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","padj_plot","minus_log10_padj","significance"
"MSTRG.26469",28.7550431771604,-3.82629606009802,0.878156095075037,-4.3571935349046,1.3174077150552e-05,4.08032488560652e-05,4.08032488560652e-05,4.38930525592757,"Down"
"MSTRG.5348",46.7919730651919,1.86456752347547,0.42795509570569,4.35692328981581,1.31903470096383e-05,4.08445172885173e-05,4.08445172885173e-05,4.38886623218293,"Up"
"MSTRG.28898",122.301984632764,4.25019083380404,0.975622531022481,4.35638856079893,1.32225963897868e-05,4.09352375693043e-05,4.09352375693043e-05,4.38790268482154,"Up"
"MSTRG.29913",103.222911729576,2.93848551287769,0.674531463445768,4.35633572653048,1.32257868920987e-05,4.09420679360331e-05,4.09420679360331e-05,4.38783022541247,"Up"
"MSTRG.31834",106.168376599323,1.42768189176137,0.327731762771365,4.35625122108582,1.32308914481428e-05,4.09548220367059e-05,4.09548220367059e-05,4.38769495689152,"Up"
"MSTRG.1686",830.308886903564,1.06210081521375,0.243832083665569,4.35586982339243,1.32539531899104e-05,4.10231546686816e-05,4.10231546686816e-05,4.38697094556392,"Up"
"MSTRG.14943",81.0522467219481,-1.49837478421473,0.344024219021193,-4.35543401123869,1.32803521222229e-05,4.11018055153896e-05,4.11018055153896e-05,4.3861391000668,"Down"
"MSTRG.30600",10.5861519965283,-7.46554365931899,1.71426699469884,-4.35494802291899,1.33098495862835e-05,4.11900336958644e-05,4.11900336958644e-05,4.38520785276507,"Down"
"MSTRG.1652",307.083483013205,1.3808892525116,0.317092337105162,4.35484901690839,1.33158664968683e-05,4.12055888122608e-05,4.12055888122608e-05,4.38504387557572,"Up"
"MSTRG.10791",24.7829273441758,-2.01443508721443,0.462648798507674,-4.35413448324564,1.33593679880554e-05,4.13340534723033e-05,4.13340534723033e-05,4.38369200303348,"Down"
"MSTRG.27789",145.926936919864,-1.2053217142084,0.276821764993373,-4.35414359213139,1.33588125782558e-05,4.13340534723033e-05,4.13340534723033e-05,4.38369200303348,"Down"
"MSTRG.8684",372.233174223503,-1.0156359020036,0.233260320989126,-4.35408773209628,1.33622189629375e-05,4.13397996905575e-05,4.13397996905575e-05,4.38363163205068,"Down"
"MSTRG.37875",130.502418061981,-1.13282161414932,0.260181395740574,-4.35396854923039,1.33694895890742e-05,4.13592174771992e-05,4.13592174771992e-05,4.38342768675525,"Down"
"MSTRG.8855",94.7874949571963,1.77918157901629,0.408660472503788,4.35369138619052,1.33864122264375e-05,4.14084891588024e-05,4.14084891588024e-05,4.38291061499304,"Up"
"MSTRG.25561",454.803984481516,-1.27765021390089,0.293478263166301,-4.35347476885163,1.33996523718948e-05,4.14463632254034e-05,4.14463632254034e-05,4.38251357127612,"Down"
"MSTRG.30638",32.479790452889,2.6301681291005,0.604162779370926,4.35340974139307,1.34036294357221e-05,4.14555822227958e-05,4.14555822227958e-05,4.38241698102866,"Up"
"MSTRG.19557",266.694812769444,1.02736637322608,0.235992350752627,4.35338844648819,1.34049320717532e-05,4.14565288270657e-05,4.14565288270657e-05,4.38240706438306,"Up"
"MSTRG.18044",233.066246053345,1.359685828725,0.312340623231974,4.3532148161053,1.34155577676188e-05,4.14863059452256e-05,4.14863059452256e-05,4.38209523422449,"Up"
"MSTRG.35752",119.887332401989,-1.2373741722439,0.284250413997055,-4.3531129993595,1.34217924056177e-05,4.15025007270714e-05,4.15025007270714e-05,4.38192573414942,"Down"
"MSTRG.11019",35.6113808906983,2.47729934160845,0.569227443911413,4.352037780515,1.34878012028368e-05,4.16960568123911e-05,4.16960568123911e-05,4.37990501422511,"Up"
"MSTRG.15238",31.1091245821543,3.5737181766429,0.82132681547909,4.35115243931042,1.35423855753687e-05,4.18567276580552e-05,4.18567276580552e-05,4.37823472763615,"Up"
"MSTRG.23330",57.7389168692897,-2.80512312858392,0.644707062270255,-4.35100418895061,1.35515462988645e-05,4.18819297538235e-05,4.18819297538235e-05,4.3779733159586,"Down"
"MSTRG.27065",154.45112479595,-1.40347380980804,0.322598732408488,-4.35052487444652,1.35812046890471e-05,4.19704727627717e-05,4.19704727627717e-05,4.37705613879169,"Down"
"MSTRG.2416",33.0366780036237,-5.53616213689723,1.2726807412357,-4.35000071700773,1.36137086848801e-05,4.20615469089665e-05,4.20615469089665e-05,4.37611475918954,"Down"
"MSTRG.37836",8.52940968749979,-7.1648344213822,1.64708246494952,-4.35001560265035,1.36127845750984e-05,4.20615469089665e-05,4.20615469089665e-05,4.37611475918954,"Down"
"MSTRG.40350",93.1057841873613,-1.20916210113447,0.278013751270151,-4.34928882334134,1.36579734082077e-05,4.21920418690058e-05,4.21920418690058e-05,4.37476945658105,"Down"
"MSTRG.12841",85.0246776224335,1.75340387389166,0.403155592309693,4.34919893792457,1.36635721308826e-05,4.22062030944224e-05,4.22062030944224e-05,4.3746237155857,"Up"
"MSTRG.12134",258.209530387522,-1.08496097673251,0.249477024167964,-4.34894147206935,1.36796211103346e-05,4.22526402263744e-05,4.22526402263744e-05,4.37414614825465,"Down"
"MSTRG.6350",2317.81490242174,2.62968422064468,0.604708998635618,4.34867717625822,1.36961145331152e-05,4.23004431259231e-05,4.23004431259231e-05,4.37365508307093,"Up"
"MSTRG.3774",128.254395568914,1.37555137553006,0.316358304578268,4.34808050120192,1.37334199149126e-05,4.24093634504081e-05,4.24093634504081e-05,4.37253824609841,"Up"
"MSTRG.15096",44.71604348438,-2.23789810822405,0.514701409434796,-4.34795410931852,1.3741334632095e-05,4.24278041738074e-05,4.24278041738074e-05,4.3723494443087,"Down"
"MSTRG.30959",506.994639916677,1.31163232429963,0.301666659181708,4.34795256412333,1.37414314198348e-05,4.24278041738074e-05,4.24278041738074e-05,4.3723494443087,"Up"
"MSTRG.15851",64.7284582387706,3.16763898457392,0.728685064455815,4.34706176795256,1.37973373732445e-05,4.25940955391169e-05,4.25940955391169e-05,4.37065059931286,"Up"
"MSTRG.10102",423.205890861487,1.01258556545656,0.232937706678399,4.34702298694204,1.37997761727665e-05,4.259846312043e-05,4.259846312043e-05,4.37060606921552,"Up"
"MSTRG.9493",47.7522163842079,-2.00060916011206,0.460267072238384,-4.34662673213323,1.38247188011902e-05,4.26659601907197e-05,4.26659601907197e-05,4.36991847619239,"Down"
"MSTRG.33669",51.7248149564967,1.64300803361382,0.378044892670338,4.3460659447304,1.38600915878671e-05,4.27656096991309e-05,4.27656096991309e-05,4.36890533195754,"Up"
"MSTRG.7887",15.8128739594665,6.22147618405274,1.4315972743949,4.34582846400181,1.38750971643005e-05,4.2808734475839e-05,4.2808734475839e-05,4.36846761071471,"Up"
"MSTRG.41082",345.372729448993,1.44008321204504,0.33138020124708,4.34571288998433,1.38824054864291e-05,4.28281063356545e-05,4.28281063356545e-05,4.36827112770843,"Up"
"MSTRG.41051",201.658032716968,-1.27697568292097,0.293848686925247,-4.34569130215588,1.38837709994958e-05,4.28291427369688e-05,4.28291427369688e-05,4.36826061830317,"Down"
"MSTRG.40852",24.295762654751,2.42382992482587,0.557805459097341,4.3452961696506,1.39087872917639e-05,4.29031323261225e-05,4.29031323261225e-05,4.36751099913718,"Up"
"MSTRG.2492",18.0939243932287,-3.72379462418339,0.857027555577695,-4.34501154595117,1.39268337765602e-05,4.29556134256044e-05,4.29556134256044e-05,4.36698007466238,"Down"
"MSTRG.16828",30.806419314548,-2.24067393425543,0.515702560596988,-4.34489588661646,1.39341735034871e-05,4.29718795738423e-05,4.29718795738423e-05,4.36681565002343,"Down"
"MSTRG.39233",22.9136508107648,2.77431624810414,0.638522850312176,4.34489736232269,1.39340798321224e-05,4.29718795738423e-05,4.29718795738423e-05,4.36681565002343,"Up"
"MSTRG.16285",94.2756255443705,2.06249204655515,0.474730967757358,4.34454920077874,1.39561962538859e-05,4.30366054829798e-05,4.30366054829798e-05,4.36616199101613,"Up"
"MSTRG.2776",202.309686815727,1.29348154042827,0.297776425715662,4.34380101554238,1.4003836897174e-05,4.31707137309575e-05,4.31707137309575e-05,4.36481077119886,"Up"
"MSTRG.35792",40.1008660867299,5.33404690001611,1.22810290379521,4.34332243945705,1.40343914915423e-05,4.32617007526247e-05,4.32617007526247e-05,4.36389641108831,"Up"
"MSTRG.36425",24.6966781890748,4.11710496066176,0.947959423332696,4.34312361829523,1.40471038744793e-05,4.32976788733303e-05,4.32976788733303e-05,4.36353538492895,"Up"
"MSTRG.3361",12.1363143499918,-4.59802601353045,1.05871653940493,-4.34301896909519,1.40537994277031e-05,4.33151072381286e-05,4.33151072381286e-05,4.36336060605154,"Down"
"MSTRG.16726",54.0789919272259,2.22880647827252,0.513200145107016,4.34295761511866,1.40577263275151e-05,4.3324000407342e-05,4.3324000407342e-05,4.36327144875446,"Up"
"MSTRG.38944",37.5050738288419,2.68956093569016,0.619326048109787,4.34272213141822,1.40728079444959e-05,4.33672670333419e-05,4.33672670333419e-05,4.36283794584149,"Up"
"MSTRG.29664",36.6697222582717,-2.17834712794353,0.501635529287057,-4.3424897176631,1.40877080764533e-05,4.34099680201764e-05,4.34099680201764e-05,4.36241053410293,"Down"
