"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","padj_plot","minus_log10_padj","significance"
"MSTRG.14009",3504.89424938292,-1.84139330375417,0.282846788881787,-6.51021463257184,7.50435023976092e-11,2.69153476099344e-08,2.69153476099344e-08,7.57000000692756,"Down"
"MSTRG.7201",339.948883489162,1.0593067885109,0.164713064811755,6.43122505018981,1.26579583209697e-10,4.40509482201745e-08,4.40509482201745e-08,7.35604473873077,"Up"
"MSTRG.13706",2163.19136246073,-1.19679986738932,0.186147057417986,-6.42932466400448,1.28172107414957e-10,4.41678568973366e-08,4.41678568973366e-08,7.35489367296803,"Down"
"MSTRG.11949",234.907774701926,-1.73043469906853,0.270258948210521,-6.40287661343443,1.52476414952878e-10,4.9624013973877e-08,4.9624013973877e-08,7.30430810954789,"Down"
"MSTRG.5218",42318.5974506787,-1.15988947932612,0.181367075977131,-6.3952592998322,1.60275133781625e-10,5.16835841953241e-08,5.16835841953241e-08,7.28664737616088,"Down"
"MSTRG.16653",44.413891655121,-2.25638348944765,0.353536063766529,-6.3823290484383,1.74414685791022e-10,5.57318344624422e-08,5.57318344624422e-08,7.25389666152295,"Down"
"MSTRG.24445",128.382962772953,-2.42725711715198,0.383833017849691,-6.32373194664168,2.55320480241899e-10,8.01273175002008e-08,8.01273175002008e-08,7.09621939631252,"Down"
"MSTRG.18680",233.005193319368,1.49492918341041,0.236458858362077,6.32215343407141,2.57943062404931e-10,8.02339884997428e-08,8.02339884997428e-08,7.09564161811317,"Up"
"MSTRG.11950",233.698744002353,-1.71639797658138,0.271553592734026,-6.32066016619604,2.60448223548055e-10,8.0302584293777e-08,8.0302584293777e-08,7.09527047805299,"Down"
"MSTRG.24444",231.005730420143,-1.82515966708713,0.290310980868376,-6.28691226776102,3.23842261263067e-10,9.72883046250902e-08,9.72883046250902e-08,7.01193936468613,"Down"
"MSTRG.40643",69.180769488575,3.12435141342601,0.496872468035484,6.28803488705856,3.21509671520626e-10,9.72883046250902e-08,9.72883046250902e-08,7.01193936468613,"Up"
"MSTRG.14011",114224.857114733,-1.09605320378935,0.175889577547451,-6.23148465686465,4.62035253474039e-10,1.34215513424455e-07,1.34215513424455e-07,6.87219728293568,"Down"
"MSTRG.9998",1875.50947895255,-1.36531109158269,0.219583695006945,-6.21772528028327,5.04413671873013e-10,1.4532488649725e-07,1.4532488649725e-07,6.83766000756743,"Down"
"MSTRG.35964",229.480974807971,-1.61233017092807,0.259534568492117,-6.21239082059716,5.21844378766145e-10,1.49124455847571e-07,1.49124455847571e-07,6.82645112805138,"Down"
"MSTRG.23297",444.501925103433,-2.00975157968545,0.323830625870513,-6.20618131556547,5.42875415136849e-10,1.5388329005359e-07,1.5388329005359e-07,6.81280853696852,"Down"
"MSTRG.24443",327.76471865675,-1.55482683669079,0.250714219813294,-6.20159015251973,5.58954859161878e-10,1.57173634757447e-07,1.57173634757447e-07,6.80362030333268,"Down"
"MSTRG.35503",80.805525409682,-2.8149053559013,0.454362148329104,-6.19529018042764,5.81777460281898e-10,1.62292825011496e-07,1.62292825011496e-07,6.78970067996918,"Down"
"MSTRG.5067",3032.39976117118,-1.09148279781625,0.176607939751706,-6.18025893598425,6.39965480753044e-10,1.73031897561452e-07,1.73031897561452e-07,6.761873829484,"Down"
"MSTRG.36286",1642.33922871567,-1.05719740906733,0.171165506768532,-6.17646293944598,6.55535883195152e-10,1.75888784415469e-07,1.75888784415469e-07,6.75476185253666,"Down"
"MSTRG.9999",2809.26018142894,-1.39374262371446,0.225950232819489,-6.1683610869652,6.90014304304971e-10,1.83737218045571e-07,1.83737218045571e-07,6.73580286353823,"Down"
"MSTRG.28307",124.470252711882,3.46867652301875,0.563670319433507,6.15373278214258,7.56801585394244e-10,2.00006157330995e-07,2.00006157330995e-07,6.69895663406746,"Up"
"MSTRG.37251",61.4821527025112,22.6175098411383,3.67958811574763,6.14675043229474,7.90864147326533e-10,2.07448387420749e-07,2.07448387420749e-07,6.68308993676652,"Up"
"MSTRG.35559",121.406034243339,-1.80918350248514,0.294731932451995,-6.13840342114884,8.33549634824456e-10,2.15429677312094e-07,2.15429677312094e-07,6.6666944690739,"Down"
"MSTRG.37499",4305.91106851971,-1.10040706280945,0.180356855674386,-6.10127659796928,1.05224634455044e-09,2.66082063054701e-07,2.66082063054701e-07,6.57498440082976,"Down"
"MSTRG.14007",702.50822588053,-1.88279341687514,0.309546436544698,-6.08242639744706,1.18377243882163e-09,2.9720298180101e-07,2.9720298180101e-07,6.52694683766641,"Down"
"MSTRG.21209",182.890962252157,-1.55243623212822,0.255497641794062,-6.07612743987485,1.23119576194916e-09,3.06917020118802e-07,3.06917020118802e-07,6.51297902704971,"Down"
"MSTRG.18729",439.121456058082,-1.32683882631402,0.218544684335052,-6.07124730739201,1.26920553489218e-09,3.14164122154403e-07,3.14164122154403e-07,6.50284341331274,"Down"
"MSTRG.21210",447.122838456467,-1.15003718986288,0.190037464759669,-6.05163403604272,1.43383910485379e-09,3.49986185392403e-07,3.49986185392403e-07,6.45594909772474,"Down"
"MSTRG.21190",988.643488343543,-2.19296991304243,0.36376722354186,-6.02849781706644,1.6549063279743e-09,4.01160707048059e-07,4.01160707048059e-07,6.3966816119126,"Down"
"MSTRG.20699",147.911018551629,-1.5485199953819,0.258228105725986,-5.9967136072519,2.01350702346959e-09,4.78194313296841e-07,4.78194313296841e-07,6.3203955928344,"Down"
"MSTRG.41783",250.424832555328,-1.4488902761336,0.241839953538466,-5.99111211747378,2.08410892227516e-09,4.91639896033889e-07,4.91639896033889e-07,6.30835288183861,"Down"
"MSTRG.8047",81.6559350439546,-2.98959350438418,0.500080534525278,-5.97822410188826,2.2558326743671e-09,5.24425848196762e-07,5.24425848196762e-07,6.28031591070322,"Down"
"MSTRG.16221",72.2115707030118,1.7060309863491,0.285415551983037,5.97735818702161,2.26785197092116e-09,5.24425848196762e-07,5.24425848196762e-07,6.28031591070322,"Up"
"MSTRG.37854",161.535320422866,-1.55079018611903,0.261617872997808,-5.92769205081039,3.07221944130246e-09,7.05787197008759e-07,7.05787197008759e-07,6.15132622401357,"Down"
"MSTRG.9210",817.622818067235,-1.96808368721663,0.33277049828552,-5.9142372817196,3.33416945498168e-09,7.5123539854584e-07,7.5123539854584e-07,6.1242239561108,"Down"
"MSTRG.2149",10707.1801777935,-1.00848229683669,0.170788977225926,-5.9048441721308,3.52980232409689e-09,7.85246973985328e-07,7.85246973985328e-07,6.10499372851622,"Down"
"MSTRG.14882",9487.53765976941,1.25138994139974,0.212914339295972,5.87743383342627,4.1667517602489e-09,9.15357235131179e-07,9.15357235131179e-07,6.03840938137823,"Up"
"MSTRG.21185",4537.23457120888,-2.10890993835285,0.359287997988699,-5.86969214156491,4.36605097825472e-09,9.47298307621451e-07,9.47298307621451e-07,6.02351323857502,"Down"
"MSTRG.27840",30.3950151180784,3.05264912047806,0.520316790499781,5.866904886052,4.44005200801473e-09,9.51606024571402e-07,9.51606024571402e-07,6.02154281712885,"Up"
