"gene_id","variance"
"MSTRG.25486",2.04581637308567
"MSTRG.27174",2.04440094534402
"MSTRG.32632",2.04179535020625
"MSTRG.10973",2.04035123535285
"MSTRG.4496",2.03462006862019
"MSTRG.18602",2.03392387861483
"MSTRG.10244",2.03364825056268
"MSTRG.26493",2.03279168576472
"MSTRG.13880",2.03253739817676
"MSTRG.423",2.03242528387946
"MSTRG.18719",2.03084662651476
"MSTRG.4735",2.02875055169446
"MSTRG.10053",2.02129237589802
"MSTRG.20176",2.02030665340494
"MSTRG.33622",2.02022429056939
"MSTRG.28205",2.01337092015017
"MSTRG.26325",2.01320147235509
"MSTRG.31434",2.01168411388869
"MSTRG.31386",2.00962091267595
"MSTRG.30925",2.00883836838859
"MSTRG.9206",2.00735412594347
"MSTRG.980",2.0065958337798
"MSTRG.27897",2.00605918649343
"MSTRG.23874",2.00566738744304
"MSTRG.6194",1.99954016551266
"MSTRG.32060",1.99562312249494
"MSTRG.35149",1.99551803972887
"MSTRG.3955",1.99515363048162
"MSTRG.19663",1.9921936071779
"MSTRG.35389",1.98609372687575
"MSTRG.6825",1.98589384926133
"MSTRG.6196",1.98492092774597
"MSTRG.34705",1.98008924919006
"MSTRG.17654",1.97837922990597
"MSTRG.9436",1.97607695897341
"MSTRG.22595",1.97395817161436
"MSTRG.30222",1.97388915590336
"MSTRG.2124",1.97384385225215
"MSTRG.25264",1.97269737152737
"MSTRG.40268",1.95672826383719
"MSTRG.8311",1.95499344420633
"MSTRG.32739",1.95450700649768
"MSTRG.12193",1.95332457882678
"MSTRG.2713",1.95175019830641
"MSTRG.39948",1.95051866586306
"MSTRG.18945",1.94692274908499
"MSTRG.26086",1.94159697229756
"MSTRG.9073",1.94043409250648
"MSTRG.21150",1.94010574463365
"MSTRG.21699",1.93611067418681
"MSTRG.5559",1.9320925799298
"MSTRG.2663",1.9299635088216
"MSTRG.26070",1.926288563274
"MSTRG.23670",1.92611146006871
"MSTRG.21126",1.92402113283308
"MSTRG.33943",1.92200715632066
"MSTRG.11120",1.92001454188305
"MSTRG.31511",1.91566386250774
"MSTRG.294",1.91313800831053
"MSTRG.1804",1.91236648479129
"MSTRG.10926",1.91019682758696
"MSTRG.35256",1.90744868728847
"MSTRG.25851",1.90500776455239
"MSTRG.38624",1.90321113742105
"MSTRG.8307",1.90190222409246
"MSTRG.40834",1.90073839197693
"MSTRG.16416",1.89814759546419
"MSTRG.35613",1.89693238979823
"MSTRG.23028",1.89420638341158
"MSTRG.29652",1.88925466710523
"MSTRG.15896",1.88860853690142
"MSTRG.19294",1.88815299089687
"MSTRG.41590",1.8874218140629
"MSTRG.18819",1.88684006325328
"MSTRG.17017",1.88574434696969
"MSTRG.30612",1.8792710041644
"MSTRG.12066",1.87898116338184
"MSTRG.16402",1.87675853790919
"MSTRG.19454",1.87603065570189
"MSTRG.33657",1.87541501669433
"MSTRG.19701",1.87312284762574
"MSTRG.26332",1.86773188931078
"MSTRG.27228",1.86710050817651
"MSTRG.18107",1.86702039427348
"MSTRG.38087",1.86570807443392
"MSTRG.34022",1.86524193719517
"MSTRG.16937",1.86314328537085
"MSTRG.7358",1.86102949688929
"MSTRG.29492",1.85906849877534
"MSTRG.35073",1.8571122927557
"MSTRG.8546",1.85684616297815
"MSTRG.27013",1.85593546832291
"MSTRG.11648",1.85560438489039
"MSTRG.23120",1.85504745466062
"MSTRG.14531",1.85416739818288
"MSTRG.40104",1.85376643850191
"MSTRG.20652",1.85180604018792
"MSTRG.26201",1.84996004919108
"MSTRG.15534",1.84893670767632
"MSTRG.13423",1.84072922096422
"MSTRG.24764",1.84067400725989
"MSTRG.15378",1.83162484731969
"MSTRG.12351",1.82771680531375
"MSTRG.19280",1.82727862354963
"MSTRG.27769",1.82350018291979
"MSTRG.30013",1.82324362861007
"MSTRG.24719",1.8179748935799
"MSTRG.37592",1.81756467260486
"MSTRG.37950",1.81743165797627
"MSTRG.7431",1.8150448293763
"MSTRG.23342",1.81314521554043
"MSTRG.13436",1.81069985022761
"MSTRG.33986",1.80815757992205
"MSTRG.26809",1.80723127552853
"MSTRG.30615",1.80640055095951
"MSTRG.32791",1.80179928698214
"MSTRG.13192",1.80001893757056
"MSTRG.10054",1.79969334455986
"MSTRG.16405",1.79963639638455
"MSTRG.16945",1.79902991889493
"MSTRG.22936",1.79886124080189
"MSTRG.11333",1.79729259360944
"MSTRG.28737",1.79659943382964
"MSTRG.4904",1.7954255915285
"MSTRG.23440",1.79356467881225
"MSTRG.23201",1.79345865491027
"MSTRG.5589",1.79187574060207
"MSTRG.20097",1.79106081820347
